temperature,date,mois,wind_dire,wind_speed,id
25,"2018-05-01 14:00:00",37,从西南偏西方向吹来的风,4,95
21,"2018-05-01 11:00:00",50,从西南偏西方向吹来的风,4,96
20,"2018-04-30 20:00:00",51,从西南偏南方向吹来的风,2,97
15,"2018-05-01 02:00:00",74,从西南偏西方向吹来的风,2,98
17,"2018-04-30 23:00:00",69,从西方吹来的风,1,99
15,"2018-05-01 08:00:00",80,从西南方吹来的风,3,100
15,"2018-05-01 05:00:00",77,从西方吹来的风,2,101
22,"2018-04-30 14:00:00",45,从西南方吹来的风,4,102
20,"2018-04-30 11:00:00",58,从西南偏南方向吹来的风,3,103
23,"2018-04-30 17:00:00",37,从西南偏西方向吹来的风,4,104
15,"2018-04-30 08:00:00",85,从西方吹来的风,2,105
13,"2018-04-30 05:00:00",88,从西南方吹来的风,1,106
16,"2018-04-29 23:00:00",64,从西南方吹来的风,3,107
15,"2018-04-30 02:00:00",81,从西南偏西方向吹来的风,2,108
19,"2018-04-29 20:00:00",56,从西南偏南方向吹来的风,2,109
21,"2018-04-29 17:00:00",50,从西南方吹来的风,2,110
21,"2018-04-29 14:00:00",52,从西南方吹来的风,2,111
18,"2018-04-29 11:00:00",62,从西南方吹来的风,4,112
14,"2018-04-29 08:00:00",85,从西南偏西方向吹来的风,2,113
15,"2018-04-28 20:00:00",80,从西北偏西方向吹来的风,2,114
13,"2018-04-29 02:00:00",83,从西南方吹来的风,2,115
14,"2018-04-28 23:00:00",82,从东南偏南方向吹来的风,1,116
13,"2018-04-29 05:00:00",83,从西北偏西方向吹来的风,2,117
20,"2018-04-28 17:00:00",63,从东南偏南方向吹来的风,2,118
16,"2018-04-28 14:00:00",81,从西南偏南方向吹来的风,2,119
17,"2018-04-28 11:00:00",78,从东南偏南方向吹来的风,2,120
14,"2018-04-28 08:00:00",87,从南方吹来的风,1,121
14,"2018-04-28 05:00:00",86,从南方吹来的风,2,122
14,"2018-04-27 17:00:00",88,从东北方吹来的风,5,123
14,"2018-04-28 02:00:00",86,从东南方吹来的风,2,124
13,"2018-04-27 23:00:00",94,从东南偏南方向吹来的风,1,125
14,"2018-04-27 20:00:00",88,从东北偏东方向吹来的风,2,126
13,"2018-04-27 08:00:00",86,从东北方吹来的风,3,127
14,"2018-04-27 11:00:00",81,从东北偏东方向吹来的风,3,128
16,"2018-04-27 14:00:00",71,从东南偏南方向吹来的风,2,129
16,"2018-04-26 23:00:00",74,从东南偏东方向吹来的风,2,130
15,"2018-04-27 02:00:00",80,从东方吹来的风,4,131
14,"2018-04-27 05:00:00",80,从东方吹来的风,3,132
22,"2018-04-26 17:00:00",55,从西南方吹来的风,2,133
18,"2018-04-26 20:00:00",69,从东方吹来的风,4,134
18,"2018-04-26 08:00:00",73,从东南偏南方向吹来的风,2,135
22,"2018-04-26 11:00:00",58,从南方吹来的风,2,136
21,"2018-04-26 14:00:00",63,从东北方吹来的风,5,137
19,"2018-04-25 23:00:00",54,从西南偏西方向吹来的风,2,138
18,"2018-04-26 05:00:00",76,从西南方吹来的风,1,139
26,"2018-04-25 17:00:00",29,从西南方吹来的风,4,140
17,"2018-04-26 02:00:00",68,从东南方吹来的风,2,141
23,"2018-04-25 20:00:00",33,从西南方吹来的风,2,142
27,"2018-04-25 14:00:00",29,从西方吹来的风,6,143
24,"2018-04-25 11:00:00",39,从东南偏南方向吹来的风,1,144
18,"2018-04-25 08:00:00",63,从西南偏西方向吹来的风,1,145
18,"2018-04-25 05:00:00",62,从西方吹来的风,3,146
28,"2018-04-24 17:00:00",18,从西南方吹来的风,5,147
24,"2018-04-24 20:00:00",27,从西南偏南方向吹来的风,3,148
18,"2018-04-24 23:00:00",58,无风,0,149
19,"2018-04-25 02:00:00",49,从西南方吹来的风,3,150
16,"2018-04-24 08:00:00",71,无风,0,151
24,"2018-04-24 11:00:00",37,从南方吹来的风,2,152
27,"2018-04-24 14:00:00",32,从南方吹来的风,4,153
12,"2018-04-24 05:00:00",84,无风,0,154
17,"2018-04-24 02:00:00",59,从西方吹来的风,1,155
21,"2018-04-23 23:00:00",41,从西南方吹来的风,3,156
